KillTime,Layer
2019-11-14 20:59,No data
2019-11-19 14:54,No data
2019-11-22 08:11,No data
2019-11-26 21:16,No data
2019-11-28 02:49,No data
2019-12-02 08:29,No data
2019-12-04 22:32,No data
2019-12-08 21:56,No data
2019-12-12 14:11,No data
2019-12-16 08:15,No data
2019-12-18 21:55,No data
2019-12-21 15:15,No data
2019-12-25 19:30,No data
2019-12-28 22:07,No data
2020-01-02 14:31,No data
2020-01-06 17:00,No data
2020-01-09 11:30,No data
2020-01-13 06:20,No data
2020-01-16 09:40,No data
2020-01-20 08:06,No data
2020-01-23 06:59,No data
2020-01-26 22:27,No data
2020-01-30 13:46,No data
2020-02-04 02:17,No data
2020-02-06 17:00,No data
2020-02-11 02:58,No data
2020-02-12 19:00,No data
2020-02-16 14:00,No data
2020-02-19 15:52,No data
2020-02-24 15:48,No data
2020-02-27 14:18,No data
2020-03-02 10:32,No data
2020-03-05 00:11,No data
2020-03-09 04:40,No data
2020-03-12 13:37,No data
2020-03-16 04:10,No data
2020-03-18 20:28,No data
2020-03-23 11:58,No data
2020-03-25 16:10,No data
2020-03-29 00:58,No data
2020-04-02 13:00,No data
2020-04-07 00:42,No data
2020-04-08 18:09,No data
2020-04-13 01:46,No data
2020-04-17 11:55,No data
2020-04-21 20:17,Layer 1
2020-04-23 10:01,Layer 1
2020-04-23 12:05,Layer 2
2020-04-26 11:19,Layer 1
2020-04-28 06:15,Layer 2
2020-04-30 00:58,Layer 1
2020-04-30 15:14,Layer 2
2020-05-04 06:55,Layer 2
2020-05-04 19:44,Layer 1
2020-05-06 16:35,Layer 2
2020-05-06 19:15,Layer 1